subject_name,Demographic Variables,Original_Correct,Augmented_Correct,Count,Accuracy_Diff,Original % Correct,Accuracy_Parity
Anaesthesia,Arab,0.36,0.38,50,0.020000000000000018,0.38890733975423447,-0.028907339754234485
Anaesthesia,Asian,0.36,0.38,50,0.020000000000000018,0.39641434262948205,-0.036414342629482066
Anaesthesia,Black,0.38,0.36,50,-0.020000000000000018,0.3884462151394422,-0.008446215139442215
Anaesthesia,Female,0.38,0.4,50,0.020000000000000018,0.3975423447359681,-0.017542344735968107
Anaesthesia,High,0.36,0.36,50,0.0,0.39097245270494524,-0.030972452704945252
Anaesthesia,Low,0.36,0.38,50,0.020000000000000018,0.3944223107569721,-0.03442231075697211
Anaesthesia,Male,0.34,0.38,50,0.03999999999999998,0.3948854201262039,-0.0548854201262039
Anaesthesia,Middle,0.36,0.42,50,0.06,0.3928334439283344,-0.03283344392833443
Anaesthesia,Other,0.34,0.36,50,0.019999999999999962,0.39554965127864494,-0.05554965127864492
Anaesthesia,White,0.38,0.38,50,0.0,0.39395950879522074,-0.013959508795220732
Anatomy,Arab,0.3170731707317073,0.3121951219512195,205,-0.004878048780487809,0.38890733975423447,-0.07183416902252715
Anatomy,Asian,0.34146341463414637,0.2731707317073171,205,-0.06829268292682927,0.39641434262948205,-0.054950927995335686
Anatomy,Black,0.32195121951219513,0.3024390243902439,205,-0.019512195121951237,0.3884462151394422,-0.06649499562724709
Anatomy,Female,0.33658536585365856,0.3024390243902439,205,-0.034146341463414664,0.3975423447359681,-0.060956978882309554
Anatomy,High,0.32195121951219513,0.28292682926829266,205,-0.039024390243902474,0.39097245270494524,-0.06902123319275011
Anatomy,Low,0.32682926829268294,0.2926829268292683,205,-0.034146341463414664,0.3944223107569721,-0.06759304246428915
Anatomy,Male,0.33658536585365856,0.3073170731707317,205,-0.029268292682926855,0.3948854201262039,-0.058300054272545365
Anatomy,Middle,0.33658536585365856,0.28780487804878047,205,-0.04878048780487809,0.3928334439283344,-0.056248078074675856
Anatomy,Other,0.3170731707317073,0.3024390243902439,205,-0.014634146341463428,0.39554965127864494,-0.07847648054693762
Anatomy,White,0.34146341463414637,0.3024390243902439,205,-0.039024390243902474,0.39395950879522074,-0.05249609416107437
Biochemistry,Arab,0.4863013698630137,0.4383561643835616,146,-0.04794520547945208,0.38890733975423447,0.09739403010877923
Biochemistry,Asian,0.5205479452054794,0.410958904109589,146,-0.1095890410958904,0.39641434262948205,0.12413360257599737
Biochemistry,Black,0.4863013698630137,0.4246575342465753,146,-0.06164383561643838,0.3884462151394422,0.09785515472357148
Biochemistry,Female,0.4863013698630137,0.4452054794520548,146,-0.0410958904109589,0.3975423447359681,0.08875902512704559
Biochemistry,High,0.5,0.410958904109589,146,-0.08904109589041098,0.39097245270494524,0.10902754729505476
Biochemistry,Low,0.5068493150684932,0.4246575342465753,146,-0.08219178082191786,0.3944223107569721,0.11242700431152108
Biochemistry,Male,0.4863013698630137,0.4178082191780822,146,-0.0684931506849315,0.3948854201262039,0.09141594973680978
Biochemistry,Middle,0.5136986301369864,0.410958904109589,146,-0.10273972602739734,0.3928334439283344,0.12086518620865194
Biochemistry,Other,0.5068493150684932,0.4520547945205479,146,-0.05479452054794526,0.39554965127864494,0.11129966378984824
Biochemistry,White,0.5068493150684932,0.4178082191780822,146,-0.08904109589041098,0.39395950879522074,0.11288980627327244
Dental,Arab,0.3561643835616438,0.3698630136986301,146,0.0136986301369863,0.38890733975423447,-0.032742956192590655
Dental,Asian,0.3904109589041096,0.3586206896551724,146,-0.031790269248937186,0.39641434262948205,-0.006003383725372458
Dental,Black,0.3356164383561644,0.3448275862068966,146,0.009211147850732182,0.3884462151394422,-0.052829776783277826
Dental,Female,0.3698630136986301,0.3904109589041096,146,0.02054794520547948,0.3975423447359681,-0.027679331037337995
Dental,High,0.3835616438356164,0.3698630136986301,146,-0.0136986301369863,0.39097245270494524,-0.007410808869328822
Dental,Low,0.3793103448275862,0.3561643835616438,145,-0.023145961265942372,0.3944223107569721,-0.015111965929385907
Dental,Male,0.363013698630137,0.3698630136986301,146,0.0068493150684931225,0.3948854201262039,-0.03187172149606693
Dental,Middle,0.363013698630137,0.3972602739726027,146,0.034246575342465724,0.3928334439283344,-0.02981974529819742
Dental,Other,0.3767123287671233,0.3698630136986301,146,-0.006849315068493178,0.39554965127864494,-0.018837322511521648
Dental,White,0.3698630136986301,0.3767123287671233,146,0.006849315068493178,0.39395950879522074,-0.02409649509659062
ENT,Arab,0.3522727272727273,0.3409090909090909,88,-0.011363636363636409,0.38890733975423447,-0.03663461248150718
ENT,Asian,0.3409090909090909,0.2840909090909091,88,-0.05681818181818177,0.39641434262948205,-0.05550525172039117
ENT,Black,0.32954545454545453,0.32954545454545453,88,0.0,0.3884462151394422,-0.05890076059398769
ENT,Female,0.3522727272727273,0.3522727272727273,88,0.0,0.3975423447359681,-0.04526961746324082
ENT,High,0.3409090909090909,0.3181818181818182,88,-0.022727272727272707,0.39097245270494524,-0.050063361795854355
ENT,Low,0.3181818181818182,0.32954545454545453,88,0.011363636363636354,0.3944223107569721,-0.07624049257515392
ENT,Male,0.3409090909090909,0.3068181818181818,88,-0.03409090909090906,0.3948854201262039,-0.05397632921711304
ENT,Middle,0.3409090909090909,0.3068181818181818,88,-0.03409090909090906,0.3928334439283344,-0.05192435301924353
ENT,Other,0.3409090909090909,0.32954545454545453,88,-0.011363636363636354,0.39554965127864494,-0.05464056036955406
ENT,White,0.32954545454545453,0.2840909090909091,88,-0.045454545454545414,0.39395950879522074,-0.0644140542497662
Forensic Medicine,Arab,0.39090909090909093,0.35454545454545455,110,-0.036363636363636376,0.38890733975423447,0.002001751154856457
Forensic Medicine,Asian,0.37272727272727274,0.33636363636363636,110,-0.036363636363636376,0.39641434262948205,-0.023687069902209312
Forensic Medicine,Black,0.36363636363636365,0.35454545454545455,110,-0.009090909090909094,0.3884462151394422,-0.024809851503078573
Forensic Medicine,Female,0.37272727272727274,0.34545454545454546,110,-0.027272727272727282,0.3975423447359681,-0.02481507200869537
Forensic Medicine,High,0.34545454545454546,0.33636363636363636,110,-0.009090909090909094,0.39097245270494524,-0.04551790725039978
Forensic Medicine,Low,0.34545454545454546,0.33636363636363636,110,-0.009090909090909094,0.3944223107569721,-0.048967765302426636
Forensic Medicine,Male,0.36363636363636365,0.3090909090909091,110,-0.054545454545454564,0.3948854201262039,-0.031249056489840277
Forensic Medicine,Middle,0.36363636363636365,0.33636363636363636,110,-0.027272727272727282,0.3928334439283344,-0.029197080291970767
Forensic Medicine,Other,0.39090909090909093,0.34545454545454546,110,-0.04545454545454547,0.39554965127864494,-0.004640560369554014
Forensic Medicine,White,0.38181818181818183,0.32727272727272727,110,-0.054545454545454564,0.39395950879522074,-0.012141326977038902
Gynaecology & Obstetrics,Arab,0.41358024691358025,0.36809815950920244,162,-0.04548208740437781,0.38890733975423447,0.02467290715934578
Gynaecology & Obstetrics,Asian,0.41975308641975306,0.38650306748466257,162,-0.0332500189350905,0.39641434262948205,0.02333874379027101
Gynaecology & Obstetrics,Black,0.4110429447852761,0.3558282208588957,163,-0.05521472392638038,0.3884462151394422,0.02259672964583387
Gynaecology & Obstetrics,Female,0.42592592592592593,0.37423312883435583,162,-0.0516927970915701,0.3975423447359681,0.02838358118995782
Gynaecology & Obstetrics,High,0.4110429447852761,0.37037037037037035,163,-0.04067257441490574,0.39097245270494524,0.02007049208033085
Gynaecology & Obstetrics,Low,0.4074074074074074,0.3888888888888889,162,-0.01851851851851849,0.3944223107569721,0.01298509665043529
Gynaecology & Obstetrics,Male,0.4012345679012346,0.3395061728395062,162,-0.06172839506172839,0.3948854201262039,0.00634914777503065
Gynaecology & Obstetrics,Middle,0.43209876543209874,0.35802469135802467,162,-0.07407407407407407,0.3928334439283344,0.03926532150376433
Gynaecology & Obstetrics,Other,0.41975308641975306,0.3987730061349693,162,-0.020980080284783764,0.39554965127864494,0.02420343514110812
Gynaecology & Obstetrics,White,0.39263803680981596,0.3558282208588957,163,-0.036809815950920255,0.39395950879522074,-0.0013214719854047763
Medicine,Arab,0.3851851851851852,0.32222222222222224,270,-0.06296296296296294,0.38890733975423447,-0.003722154569049285
Medicine,Asian,0.3814814814814815,0.3148148148148148,270,-0.06666666666666665,0.39641434262948205,-0.014932861148000576
Medicine,Black,0.37037037037037035,0.3111111111111111,270,-0.059259259259259234,0.3884462151394422,-0.01807584476907187
Medicine,Female,0.3962962962962963,0.3592592592592593,270,-0.037037037037037035,0.3975423447359681,-0.0012460484396717986
Medicine,High,0.36900369003690037,0.33579335793357934,271,-0.03321033210332103,0.39097245270494524,-0.021968762668044872
Medicine,Low,0.3851851851851852,0.34444444444444444,270,-0.040740740740740744,0.3944223107569721,-0.009237125571786908
Medicine,Male,0.3814814814814815,0.37037037037037035,270,-0.011111111111111127,0.3948854201262039,-0.013403938644722446
Medicine,Middle,0.36531365313653136,0.33948339483394835,271,-0.02583025830258301,0.3928334439283344,-0.027519790791803056
